Gene,Type
Camk2g,Ca Signaling
Stim1,Ca Signaling
Gsn,Ca Signaling
Atp2a2,Ca Signaling
Inpp4b,Ca Signaling
Mcur1,Ca Signaling
S100a6,Ca Signaling
Tspo,Ca Signaling
Mylk,SMC contraction
Itga1,SMC contraction
Myh11,SMC contraction
Sorbs1,SMC contraction
Col1a2,ECM remodelling
Lamc1,ECM remodelling
Itga7,ECM remodelling
Jam3,ECM remodelling
Lamb2,ECM remodelling
Itgb1,ECM remodelling
Bsg,ECM remodelling
